count,mean,std,min,max,median,range,p10,p25,p75,p90,iqr,skew,kurtosis,slope,intercept,dmean,dstd,dmax,dmin,dmedian,drange,energy,rms,variance,median_dt,mean_dt,std_dt,zero_crossings,fft_real_1,fft_imag_1,fft_abs_1,fft_real_2,fft_imag_2,fft_abs_2,segment,channel,anomaly,label,train
280,8.533143500000005e-07,1.8693001780627744e-05,-2.73072e-05,6.44014e-05,0.0,9.17086e-05,-2.1790559999999998e-05,-1.621345e-05,1.6663749999999998e-05,2.08757e-05,3.28772e-05,0.5520522696354365,0.6311173662492302,-4.5395385442247645e-08,7.1884025148422354e-06,-11.508243720451581,91.07279914657262,701.1999999999992,-699.3900000000006,0.0,1400.5899999999997,9.804380906613101e-08,1.8712468061441493e-05,3.4942831557055196e-10,1.0,1.0,0.32791291789197646,10,-0.0028532314342447117,-0.0004762183961981982,0.0028927000498219163,3.40937653110374e-05,-0.0006176103795932025,0.0006185506978529275,1,CADC0872,1,anomaly,1
477,-3.6393962662473803e-06,2.5448938316810553e-05,-3.87773e-05,3.97412e-05,-1.01026e-05,7.85185e-05,-3.275722e-05,-2.54347e-05,2.2206e-05,3.610534e-05,4.76407e-05,0.4256322649450153,-1.243610540948407,-9.867626462164747e-08,1.9862931665965137e-05,-48.43188232991311,955.0413936445034,1530.6999999999987,-20004.4,0.0,21535.1,3.15246278985183e-07,2.5707852236925663e-05,6.476484614528283e-10,1.0,1.0,0.5940885257860046,4,-0.005107341111124212,-0.00640285555799482,0.008190329207176269,-0.00188447678541687,0.001392152468598949,0.002342934324858733,2,CADC0872,1,anomaly,1
595,1.1707879512605042e-05,2.3649264557221118e-05,-4.17213e-05,4.47513e-05,1.8576e-05,8.64726e-05,-3.233618e-05,0.0,2.79264e-05,3.9198660000000005e-05,2.79264e-05,-0.8261874641934153,-0.28459255765001235,1.7950730144311802e-08,6.373827592546379e-06,53.45269357553384,932.1532822743841,21953.45,-1667.0999999999963,0.0,23620.549999999996,4.1433548328357166e-07,2.6388674782548518e-05,5.59287714097435e-10,1.0,1.0,0.5474151072662314,2,-0.007249467642495297,0.002372692042190051,0.007627873139129827,-0.005678106117940063,5.525766197283622e-06,0.005678108806696156,3,CADC0872,1,anomaly,1
272,8.486808235294117e-07,2.3379529179636255e-05,-4.21406e-05,6.28398e-05,0.0,0.0001049804,-3.496773e-05,-1.8284950000000002e-05,2.2087750000000002e-05,3.206436e-05,4.037270000000001e-05,-0.13849795146794944,-0.887088465900205,7.845261804774821e-08,-9.791455499196441e-06,-22.46471945191938,295.1490533204623,1673.2000000000028,-1249.000000000001,0.0,2922.2000000000035,1.4887175911405961e-07,2.3394927736620382e-05,5.466023846614631e-10,1.0,1.0,0.5009216597683637,4,-0.0039178558840093905,0.0010745649511486326,0.004062546561222907,-0.0008516079776209168,-8.042891418545976e-05,0.0008553975437097303,4,CADC0872,1,anomaly,1
257,1.0584846070038911e-05,2.2976124092528443e-05,-2.48148e-05,4.23805e-05,1.078e-05,6.71953e-05,-1.977358e-05,-1.24771e-05,3.38558e-05,4.044572e-05,4.63329e-05,-0.060154878172477215,-1.484393337295,2.541645902245108e-08,7.351813144346501e-06,-24.344261687857895,331.61443177478657,1387.54,-1534.9999999999995,-3.000000000006578e-10,2922.5399999999995,1.644648998729128e-07,2.5297059999962134e-05,5.27902278315266e-10,1.0,0.99609375,0.6342936947589323,2,-0.004162190998050248,0.0002530587527888565,0.00416987681312213,-9.6916378220614e-05,9.325429730327562e-05,0.00013449590452102554,5,CADC0872,0,nominal,0
253,6.326025494071145e-06,2.5774366566646883e-05,-3.93179e-05,4.14563e-05,7.24303e-06,8.07742e-05,-3.1194339999999997e-05,-1.63532e-05,3.14867e-05,3.95318e-05,4.7839899999999996e-05,-0.179240113059536,-1.3023085613490446,-8.777197206370777e-08,1.7402293288845843e-05,-17.386615121739094,344.35750355870556,1387.2299999999996,-1666.8999999999958,-9.50000000001236e-10,3054.1299999999956,1.7819715232727126e-07,2.653934005327794e-05,6.643179719118847e-10,1.0,1.0,0.6236095644623235,2,-0.0044511940796642295,-0.00098018773672238,0.004557839042140346,-5.394818243108689e-05,-0.0005045836074350171,0.0005074593809161018,6,CADC0872,0,nominal,1
380,2.9907951973684204e-06,1.9605420855101433e-05,-3.93372e-05,3.39444e-05,-1.531845e-06,7.32816e-05,-2.052204e-05,-9.187265e-06,2.066715e-05,3.1565550000000005e-05,2.9854415e-05,-0.0782942495914141,-0.736378555471322,-5.609221844352876e-09,4.049255359397808e-06,-0.8029260508571106,240.93433580133117,977.4999999999986,-1387.0000000000005,1.2600000000000523e-09,2364.499999999999,1.494606054709343e-07,1.983223090875679e-05,3.8437252690564615e-10,1.0,0.9973614775725593,0.6311972154112654,2,-0.004193205980942574,-0.0020468197760955906,0.004666095540645152,-0.0007386320478136904,0.0018847195609644632,0.002024288794994312,7,CADC0872,0,nominal,0
400,1.5204373150000005e-06,1.2854177816387116e-05,-1.87404e-05,6.20598e-05,0.0,8.08002e-05,-1.0818099999999999e-05,-9.040764999999999e-06,1.3335e-05,2.1032610000000003e-05,2.2375765e-05,0.5987550414758038,-0.11148149809543195,3.19735912172216e-08,-4.863729643342635e-06,-29.117025066771923,468.3887047740425,2362.6100000000006,-7648.82,0.0,10011.43,6.701664678565723e-08,1.2943786809282013e-05,1.6522988733529864e-10,1.0,1.0,0.5838254279541227,8,-0.0022970361382398576,0.002171462305223251,0.0031609529517829514,-0.000837512186794262,-0.00109352290934846,0.0013773957369974787,8,CADC0872,1,anomaly,1
514,4.1730009533073935e-07,1.316587048161408e-05,-2.09965e-05,2.56816e-05,-2.3349649999999998e-06,4.66781e-05,-1.795024e-05,-8.421015e-06,1.0215375e-05,2.137785e-05,1.8636390000000003e-05,0.30599724210101786,-0.8595242578461675,-4.720516839950062e-08,1.2534334158158194e-05,2.2152065882604797,235.5099641281131,1118.620000000001,-1254.9099999999999,0.0,2373.5300000000007,8.918634244281482e-08,1.3172482108858605e-05,1.73340145538637e-10,1.0,1.0,0.6149533651631935,4,-0.002520314108775866,-0.0032555750251966383,0.004117129090953887,-0.0021189631161666524,0.00045350372193572774,0.002166949541056332,9,CADC0872,1,anomaly,1
317,4.411687239747634e-06,2.5121715929484952e-05,-4.19505e-05,4.04857e-05,4.2779e-06,8.24362e-05,-3.081916e-05,-1.68242e-05,2.8678e-05,3.832448e-05,4.55022e-05,-0.1281759287096554,-1.2167116352009533,-3.329391240368538e-08,9.645553286475873e-06,-23.991357637253863,315.4610036217889,1955.6000000000004,-1530.9000000000024,-5.450000000000092e-09,3486.5000000000027,2.062286597871596e-07,2.5506148191036024e-05,6.31100611241738e-10,1.0,0.9968354430379747,0.6339469376505019,4,-0.0054802430519354135,6.732810446586092e-05,0.005480656619597449,-3.578145844999048e-05,-0.0010306617231034324,0.0010312826480840956,10,CADC0872,0,nominal,1
